Game,TotalWinPct,TotalWins,TotalLosses,Rank,DruidWin,DruidLoss,DruidWinPct,HunterWin,HunterLoss,HunterWinPct,MageWin,MageLoss,MageWinPct,PaladinWin,PaladinLoss,PaladinWinPct,PriestWin,PriestLoss,PriestWinPct,RogueWin,RogueLoss,RogueWinPct,ShamanWin,ShamanLoss,ShamanWinPct,WarlockWin,WarlockLoss,WarlockWinPct,WarriorWin,WarriorLoss,WarriorWinPct,DruidMetaPct,HunterMetaPct,MageMetaPct,PaladinMetaPct,PriestMetaPct,RogueMetaPct,ShamanMetaPct,WarlockMetaPct,WarriorMetaPct
143,0.531468532,76,67,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,,,0.428571429,,1,0.6,,,0.538461539,0.041958042,0.013986014,0.097902098,0.041958042,0.118881119,0.118881119,0.244755245,0.13986014,0.181818182
144,0.534722222,77,67,10.3,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,1,,0.444444444,,,0.6,,,0.538461539,0.041666667,0.013888889,0.097222222,0.041666667,0.118055556,0.118055556,0.25,0.138888889,0.180555556
145,0.537931035,78,67,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,,0.529411765,1,,0.45945946,,,0.6,,,0.538461539,0.04137931,0.013793103,0.096551724,0.04137931,0.117241379,0.117241379,0.255172414,0.137931035,0.179310345
146,0.534246575,78,68,10.5,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.647058824,,1,0.5,,,0.45945946,,,0.6,,,0.538461539,0.04109589,0.01369863,0.095890411,0.04109589,0.116438356,0.123287671,0.253424658,0.136986301,0.178082192
147,0.537414966,79,68,10.4,,,0.833333333,,,1,,,0.5,,,0.166666667,1,,0.666666667,,,0.5,,,0.45945946,,,0.6,,,0.538461539,0.040816327,0.013605442,0.095238095,0.040816327,0.12244898,0.12244898,0.25170068,0.136054422,0.176870748
148,0.540540541,80,68,10.5,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.666666667,,,0.5,,,0.45945946,,,0.6,1,,0.555555556,0.040540541,0.013513514,0.094594595,0.040540541,0.121621622,0.121621622,0.25,0.135135135,0.182432432
149,0.536912752,80,69,9.1,,,0.833333333,,,1,,1,0.466666667,,,0.166666667,,,0.666666667,,,0.5,,,0.45945946,,,0.6,,,0.555555556,0.040268456,0.013422819,0.100671141,0.040268456,0.120805369,0.120805369,0.248322148,0.134228188,0.181208054
150,0.533333333,80,70,9,,,0.833333333,,,1,,,0.466666667,,,0.166666667,,,0.666666667,,,0.5,,,0.45945946,,1,0.571428571,,,0.555555556,0.04,0.013333333,0.1,0.04,0.12,0.12,0.246666667,0.14,0.18
151,0.536423841,81,70,10.4,,,0.833333333,,,1,,,0.466666667,,,0.166666667,,,0.666666667,,,0.5,1,,0.473684211,,,0.571428571,,,0.555555556,0.039735099,0.013245033,0.099337748,0.039735099,0.119205298,0.119205298,0.251655629,0.139072848,0.178807947
152,0.539473684,82,70,10.5,,,0.833333333,,,1,1,,0.5,,,0.166666667,,,0.666666667,,,0.5,,,0.473684211,,,0.571428571,,,0.555555556,0.039473684,0.013157895,0.105263158,0.039473684,0.118421053,0.118421053,0.25,0.138157895,0.177631579
153,0.535947712,82,71,9.1,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.666666667,,,0.5,,,0.473684211,,,0.571428571,,1,0.535714286,0.039215686,0.013071895,0.104575163,0.039215686,0.117647059,0.117647059,0.248366013,0.137254902,0.183006536
154,0.532467533,82,72,9,,,0.833333333,,,1,,,0.5,,,0.166666667,,,0.666666667,,,0.5,,1,0.461538462,,,0.571428571,,,0.535714286,0.038961039,0.012987013,0.103896104,0.038961039,0.116883117,0.116883117,0.253246753,0.136363636,0.181818182
